Region,Country Code,Country,Year,Indicator Code,Indicator Name,Indicator Short Name,Category,Value Type,Sum of Value,Sum of Previous Year Value,Sum of Growth Rate %,Sum of Country Share %
East Asia,CHN,China,2011,SP.POP.TOTL,Total Population,Population,Population,People,1345035000,1337705000,0.55%,39.02%
East Asia,CHN,China,2012,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2.6195243264554,5.55389892257493,-52.83%,4.00%
East Asia,CHN,China,2012,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,25.07670432956,26.1518828948759,-4.11%,5.97%
East Asia,CHN,China,2012,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,8.96505673533992,9.0338458593332,-0.76%,6.45%
East Asia,CHN,China,2012,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,8673664713189.24,7671757207851.29,13.06%,55.69%
East Asia,CHN,China,2012,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,6405.0574241349,5703.76027973346,12.30%,4.31%
East Asia,CHN,China,2012,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.58,4.55,0.66%,7.39%
East Asia,CHN,China,2012,SP.POP.TOTL,Total Population,Population,Population,People,1354190000,1345035000,0.68%,38.85%
East Asia,CHN,China,2013,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2.62105001748114,2.6195243264554,0.06%,3.99%
East Asia,CHN,China,2013,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,24.1633430905854,25.07670432956,-3.64%,5.89%
East Asia,CHN,China,2013,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,8.78442131602471,8.96505673533992,-2.01%,6.48%
East Asia,CHN,China,2013,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,9743124247267.24,8673664713189.24,12.33%,57.58%
East Asia,CHN,China,2013,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,7147.03518622344,6405.0574241349,11.58%,4.71%
East Asia,CHN,China,2013,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.6,4.58,0.44%,7.36%
East Asia,CHN,China,2013,SP.POP.TOTL,Total Population,Population,Population,People,1363240000,1354190000,0.67%,38.70%
East Asia,CHN,China,2014,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,1.9216416278852,2.62105001748114,-26.68%,3.28%
East Asia,CHN,China,2014,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,23.0719766947263,24.1633430905854,-4.52%,5.84%
East Asia,CHN,China,2014,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,8.48242940933654,8.78442131602471,-3.44%,6.37%
East Asia,CHN,China,2014,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,10674533168257.4,9743124247267.24,9.56%,58.64%
